Source,Target,Weight20201
a029,a072,0.0794
a040,a045,0.081
a044,a048,0.0657
a0472,r6521,0.0657
a071,a072,0.0501
a071,b399,0.0942
a071,b451,0.0926
a0839,b258,0.1448
a280,s61452a,0.0676
a280,s81852a,0.0865
a310,j158,0.0824
a312,d761,0.0797
a403,j13,0.1556
a409,j154,0.0686
a4101,g061,0.0753
a4101,i2690,0.0796
a4101,i330,0.1017
a4101,i76,0.0583
a4101,j15211,0.0789
a4101,t80211a,0.0924
a4101,t827xxa,0.0634
a4102,i2690,0.052
a4102,i330,0.0604
a4102,j15212,0.126
a4102,t80211a,0.0732
a4102,t827xxa,0.0549
a411,t80211a,0.0768
a413,j14,0.0932
a4151,n10,0.0939
a4151,n12,0.0815
a4151,n136,0.0714
a4151,r6520,0.0646
a4151,r6521,0.0522
a4151,z1612,0.0681
a4151,z1624,0.0637
a4152,j151,0.0765
a4159,b961,0.0591
a4159,j150,0.0845
a4181,t80211a,0.0501
a4181,z1621,0.078
a4189,j1289,0.178
a4189,j80,0.1461
a4189,r6520,0.0613
a4189,r6521,0.0763
a419,b9620,0.0689
a419,d509,0.0542
a419,d62,0.061
a419,d631,0.0684
a419,d638,0.0598
a419,d649,0.0994
a419,d696,0.0816
a419,e039,0.0744
a419,e1122,0.095
a419,e1165,0.1
a419,e119,0.0688
a419,e43,0.0758
a419,e6601,0.0696
a419,e669,0.0574
a419,e7800,0.0594
a419,e785,0.0763
a419,e8339,0.0599
a419,e8342,0.097
a419,e860,0.1128
a419,e870,0.0896
a419,e871,0.1393
a419,e872,0.2035
a419,e875,0.0759
a419,e876,0.1247
a419,f0390,0.0624
a419,f17210,0.0744
a419,f329,0.0654
a419,f419,0.0605
a419,g4733,0.0585
a419,g8929,0.0704
a419,g92,0.0599
a419,g9341,0.168
a419,i10,0.0777
a419,i110,0.0722
a419,i129,0.0815
a419,i130,0.0711
a419,i2510,0.0773
a419,i480,0.0778
a419,i4891,0.0721
a419,i959,0.0521
a419,j189,0.1778
a419,j440,0.1003
a419,j441,0.0725
a419,j449,0.0518
a419,j690,0.1375
a419,j90,0.0767
a419,j9601,0.1711
a419,j9621,0.0866
a419,j9811,0.0687
a419,k219,0.0743
a419,k5900,0.0506
a419,l03115,0.0565
a419,l03116,0.0573
a419,n136,0.0582
a419,n170,0.1054
a419,n179,0.1504
a419,n186,0.0598
a419,n189,0.0612
a419,n390,0.1524
a419,n400,0.055
a419,r1310,0.052
a419,r6520,0.147
a419,r6521,0.2447
a419,z20828,0.1066
a419,z515,0.1304
a419,z66,0.1539
a419,z7901,0.0757
a419,z794,0.0925
a419,z7952,0.052
a419,z7982,0.0746
a419,z7984,0.0773
a419,z79890,0.0546
a419,z79899,0.0853
a419,z8673,0.0542
a419,z87891,0.0882
a419,z9049,0.0551
a419,z992,0.0537
a419,z9981,0.0598
a430,b449,0.0693
a480,e1052,0.0684
a480,e1152,0.093
a480,e11628,0.0585
a480,l02611,0.053
a480,m726,0.0814
a480,m86172,0.058
a509,p0440,0.0541
a509,p520,0.064
a509,z202,0.0841
a528,o9812,0.2325
a530,o9812,0.2185
a539,o9812,0.142
a5442,m00861,0.0585
a549,a568,0.0515
a549,a599,0.053
a549,a749,0.1161
a549,o9822,0.2448
a5602,o98312,0.0878
a5611,n730,0.0832
a5611,n8302,0.0794
a562,o9832,0.0805
a568,o98313,0.1123
a568,o98319,0.1232
a568,o9832,0.0827
a5901,n7093,0.0739
a599,o98313,0.1163
a6000,o9832,0.4706
a6004,o9832,0.0829
a6009,o9832,0.1732
a630,o98313,0.0705
a630,o9832,0.1056
a749,o9832,0.0771
a749,o9882,0.0646
b001,o9852,0.0538
b003,b004,0.1009
b009,o9852,0.4493
b0230,b027,0.0809
b027,t375x5a,0.0687
b181,o9842,0.1084
b182,f1110,0.0588
b182,f1120,0.0685
b182,f1123,0.1262
b182,f1510,0.0733
b182,f1520,0.0871
b182,f1523,0.0594
b182,f332,0.076
b182,k7031,0.0522
b182,k7290,0.0525
b182,k7460,0.0961
b182,k7469,0.0591
b182,k766,0.0845
b182,z560,0.0698
b182,z590,0.0943
b182,z915,0.0506
b1910,o9842,0.0601
b1920,f1110,0.0804
b1920,f1120,0.0564
b1920,f1123,0.0534
b1920,f1510,0.0893
b1920,k7030,0.0535
b1920,k7290,0.0682
b1920,k7460,0.1193
b1920,k766,0.0723
b1920,z590,0.0749
b20,b59,0.0513
b250,b59,0.0713
b258,t375x5a,0.0727
b2790,j0390,0.1151
b3324,i400,0.0571
b341,b348,0.0918
b350,b354,0.0511
b370,i69391,0.0502
b370,r1312,0.0521
b371,b377,0.0583
b372,l22,0.0644
b372,l304,0.086
b377,t80211a,0.0562
b3781,k2210,0.0516
b384,b387,0.1113
b384,g910,0.0897
b384,g914,0.0594
b384,t8501xa,0.0601
b387,t367x5a,0.0528
b399,b451,0.1934
b4481,e0865,0.0947
b4481,e848,0.06
b4481,j4550,0.066
b451,c469,0.0645
b451,g031,0.1414
b451,t367x5a,0.1882
b465,j322,0.0612
b488,j328,0.0608
b49,j168,0.0705
b91,g8311,0.0622
b91,g8314,0.0556
b950,l02511,0.0544
b950,m726,0.0673
b951,e11621,0.052
b951,e11628,0.0579
b951,e1169,0.0525
b951,l02611,0.0593
b951,o9882,0.1892
b951,p0089,0.0766
b952,b965,0.0686
b952,b9689,0.0503
b952,r7881,0.0666
b952,z1621,0.1577
b954,j869,0.0562
b954,m86171,0.0554
b954,r7881,0.0532
b9561,e11621,0.0797
b9561,e11628,0.0646
b9561,e1169,0.0775
b9561,l03115,0.056
b9561,l03116,0.0561
b9561,l97519,0.0538
b9561,l97529,0.0506
b9561,m869,0.0621
b9561,r7881,0.1276
b9562,b965,0.0553
b9562,e11621,0.0658
b9562,e1169,0.081
b9562,l03115,0.0628
b9562,l03116,0.0614
b9562,m869,0.0683
b9562,r7881,0.0867
b9562,z8614,0.063
b957,r7881,0.1031
b961,n136,0.0635
b961,n3000,0.0602
b961,n319,0.0554
b961,n390,0.0937
b961,r7881,0.0582
b961,z1612,0.0565
b961,z1624,0.0746
b961,z87440,0.0527
b9620,e8342,0.0518
b9620,e876,0.0507
b9620,f0390,0.0606
b9620,g9341,0.0677
b9620,n10,0.1013
b9620,n12,0.0606
b9620,n136,0.0761
b9620,n3000,0.0668
b9620,n390,0.2384
b9620,r7881,0.0645
b9620,z1612,0.0822
b9620,z1624,0.0848
b9620,z87440,0.0922
b964,z1624,0.0656
b965,n319,0.0641
b965,t83511a,0.0551
b965,z1624,0.0595
b9681,k269,0.0514
b9681,k2950,0.1045
b9689,r7881,0.1179
b970,j218,0.1055
b9710,b9789,0.3404
b9710,j0410,0.051
b9710,j069,0.054
b9710,j206,0.1661
b9710,j218,0.2236
b9729,j218,0.0859
b974,j069,0.0524
b974,j121,0.0973
b974,j205,0.0519
b9781,j123,0.0734
b9781,j208,0.0822
b9789,j069,0.1219
b9789,j210,0.0536
b9789,j218,0.1757
b9789,z825,0.0543
b999,h1089,0.0697
c01,c099,0.0592
c01,c109,0.0669
c01,c770,0.092
c01,l598,0.0761
c029,c049,0.0589
c029,c109,0.0913
c029,c770,0.0524
c049,c060,0.1078
c049,c411,0.1076
c049,t86822,0.05
c060,c411,0.1488
c060,l439,0.0523
c069,c411,0.1629
c07,c44320,0.078
c07,c44329,0.0562
c099,c109,0.112
c099,c770,0.0646
c099,l598,0.0539
c155,z934,0.0581
c169,c786,0.0665
c169,k311,0.0553
c169,r180,0.0595
c169,z903,0.0769
c179,z85068,0.0651
c180,c182,0.0859
c182,c772,0.0766
c187,c772,0.06
c189,c7800,0.0981
c189,c786,0.0635
c189,c787,0.1091
c19,c787,0.0534
c220,i81,0.1279
c220,i8500,0.0504
c220,i8510,0.0745
c220,k652,0.0627
c220,k7290,0.0719
c220,k7460,0.053
c220,k7469,0.0698
c220,k766,0.0687
c220,k767,0.0792
c221,c23,0.0546
c221,k8309,0.1002
c221,k831,0.0611
c23,z8509,0.051
c250,k315,0.0764
c250,k8309,0.0606
c250,k831,0.0758
c250,k8681,0.0542
c253,e891,0.0678
c253,z90410,0.0714
c259,c786,0.0543
c259,c787,0.095
c259,g893,0.0542
c259,k8309,0.0592
c259,k831,0.0888
c259,k8681,0.0518
c259,r180,0.0702
c259,z90411,0.0985
c329,z9002,0.0852
c3410,g40111,0.0535
c3411,c771,0.0675
c3411,c7931,0.0539
c3412,c771,0.0536
c3431,c771,0.0585
c3481,c3482,0.2383
c3490,c787,0.0781
c3490,c7931,0.2003
c3490,c7951,0.1315
c3490,c799,0.0581
c3490,d630,0.0549
c3490,j910,0.1068
c3490,t451x5a,0.0664
c3490,z9221,0.0587
c3490,z923,0.065
c3491,c3492,0.1876
c3491,c771,0.065
c3491,c7931,0.054
c3491,j910,0.0509
c3492,c771,0.0504
c4021,m84451a,0.1204
c4022,z5111,0.069
c44329,t86828,0.0679
c479,c495,0.1616
c479,q8501,0.1441
c480,c499,0.0692
c482,c494,0.0539
c50411,z171,0.062
c50412,c773,0.11
c50412,z170,0.0748
c50412,z171,0.0706
c50412,z4001,0.0585
c50911,c50912,0.1051
c50911,c773,0.0788
c50911,z170,0.1654
c50911,z171,0.0928
c50911,z79811,0.0628
c50911,z9011,0.0881
c50912,c773,0.0946
c50912,z170,0.1789
c50912,z171,0.123
c50912,z79811,0.0741
c50912,z9012,0.0759
c50919,c787,0.0612
c50919,c7931,0.0505
c50919,c7951,0.0917
c50919,d6481,0.0504
c50919,j910,0.0606
c50919,z170,0.0833
c50919,z79811,0.1241
c50919,z9013,0.0809
c519,n764,0.0511
c519,z8544,0.0505
c52,q040,0.0696
c52,q928,0.1435
c539,n820,0.0534
c541,c775,0.0737
c541,c785,0.0593
c541,n950,0.1011
c561,c562,0.4079
c561,c785,0.0743
c561,z1509,0.0976
c562,c785,0.0952
c562,c7982,0.1075
c562,z1509,0.0874
c569,c786,0.1273
c569,r180,0.1142
c569,z90722,0.0567
c609,z8549,0.0523
c61,c7951,0.196
c61,z923,0.052
c649,c7800,0.0509
c651,c661,0.0905
c652,c662,0.1121
c679,r310,0.0574
c679,z936,0.0598
c6921,c6922,0.6364
c6921,h5000,0.062
c6922,h5000,0.062
c6922,z9001,0.0611
c717,h4922,0.0854
c719,z483,0.0633
c73,c770,0.1585
c73,e892,0.062
c7490,c7952,0.2046
c7490,c800,0.1075
c7490,h47619,0.0517
c770,c7989,0.0704
c771,c7801,0.0691
c771,c7802,0.0596
c771,c782,0.07
c771,c7970,0.0502
c771,c7972,0.0581
c771,j910,0.0503
c772,c775,0.0573
c772,c786,0.0881
c772,c7989,0.0601
c773,z170,0.1021
c773,z171,0.0952
c775,c7911,0.0508
c775,c7982,0.088
c775,n950,0.0505
c779,c7800,0.0581
c779,c7951,0.0513
c7800,c786,0.0796
c7800,c787,0.2019
c7800,c7931,0.1483
c7800,c7951,0.1469
c7800,c7989,0.0614
c7800,d630,0.0758
c7800,d6481,0.057
c7800,g893,0.1116
c7800,j910,0.0629
c7800,t451x5a,0.0571
c7800,z9221,0.0501
c7801,c7802,0.6745
c7801,c782,0.0539
c7801,c786,0.0672
c7801,c787,0.1043
c7801,c7931,0.0827
c7801,c7951,0.0806
c7801,c7989,0.0913
c7801,d630,0.0562
c7801,g893,0.0848
c7801,j910,0.0924
c7802,c786,0.0575
c7802,c787,0.0959
c7802,c7931,0.0887
c7802,c7951,0.0794
c7802,c7989,0.0925
c7802,g893,0.0762
c7802,j910,0.0777
c781,c7971,0.055
c781,c7972,0.0577
c782,j910,0.0801
c784,c785,0.1534
c784,c786,0.0636
c784,c7889,0.0824
c785,c786,0.093
c785,c7889,0.0619
c785,c7911,0.0683
c785,c7961,0.0611
c785,c7982,0.1026
c786,c787,0.1444
c786,c7889,0.0569
c786,c7951,0.056
c786,c7989,0.069
c786,d630,0.0805
c786,g893,0.1249
c786,j910,0.0698
c786,r180,0.262
c786,r188,0.0627
c786,z9221,0.0504
c787,c7889,0.0513
c787,c7931,0.1244
c787,c7951,0.2423
c787,c7989,0.056
c787,d61810,0.0649
c787,d630,0.128
c787,d6481,0.0616
c787,e43,0.0655
c787,g893,0.1899
c787,j910,0.0764
c787,k831,0.0795
c787,r180,0.0912
c787,r188,0.0684
c787,r64,0.0656
c787,t451x5a,0.1143
c787,z515,0.0863
c787,z9221,0.1017
c787,z923,0.0674
c7889,c7989,0.0582
c7901,c7902,0.3786
c7911,c7982,0.0993
c7931,c7951,0.164
c7931,c7989,0.0508
c7931,d630,0.0522
c7931,g893,0.0805
c7931,g935,0.0691
c7931,g936,0.1661
c7931,j910,0.07
c7931,t451x5a,0.0582
c7931,z85118,0.0507
c7931,z9221,0.0632
c7931,z923,0.0818
c7949,g9520,0.0697
c7949,g9529,0.1144
c7949,m4804,0.0787
c7949,m8458xa,0.071
c7951,c7989,0.0593
c7951,d61810,0.0646
c7951,d630,0.1204
c7951,d6481,0.0696
c7951,e43,0.0604
c7951,e8352,0.0663
c7951,g893,0.227
c7951,j910,0.103
c7951,m8458xa,0.0645
c7951,r64,0.0538
c7951,t451x5a,0.1156
c7951,z515,0.0875
c7951,z853,0.0533
c7951,z9221,0.1045
c7951,z923,0.1284
c7961,c7962,0.5854
c7961,c7982,0.157
c7962,c7982,0.113
c7971,c7972,0.4833
c7989,d630,0.0556
c7989,g893,0.0718
c7a090,c7b02,0.2253
c7a090,c7b09,0.0625
c7a1,c7b8,0.2482
c7a8,c7b02,0.0526
c7a8,c7b8,0.3634
c7a8,e340,0.0528
c7b02,c7b09,0.1802
c7b02,e340,0.1196
c7b09,e340,0.1514
c801,m8458xa,0.0522
c802,t86818,0.0693
c8118,f71,0.0765
c8310,e883,0.0648
c8330,z5111,0.0865
c8333,z5112,0.1569
c8338,z5112,0.0641
c8339,z5111,0.0935
c8339,z5112,0.0727
c8350,c880,0.0573
c8589,d47z1,0.074
c8599,n059,0.057
c9000,d61810,0.0873
c9000,d630,0.0575
c9000,r5081,0.0562
c9000,t451x5a,0.0666
c9000,z9484,0.1432
c9001,z9481,0.0617
c9001,z9484,0.0948
c9002,z5112,0.0502
c9002,z9481,0.0865
c9002,z9484,0.1205
c9010,m4184,0.0593
c9100,d61810,0.1291
c9100,d6481,0.0784
c9100,d701,0.0552
c9100,d709,0.0558
c9100,g620,0.0561
c9100,r5081,0.0962
c9100,t451x5a,0.0682
c9100,z5111,0.1734
c9101,d89811,0.0505
c9101,k1231,0.0682
c9102,k1231,0.0658
c9102,z5112,0.1056
c9110,d801,0.0586
c9200,d61810,0.1265
c9200,d709,0.0597
c9200,d89813,0.0503
c9200,e883,0.0634
c9200,r5081,0.109
c9200,t451x5a,0.0616
c9200,z5111,0.0803
