Source,Target,Weight20192,Weight20201,Weight20202
a549,o9822,0.0818,0.2448,0.3403
a6000,o9832,0.4752,0.4706,0.4238
b009,o9852,0.5227,0.4493,0.3052
b9710,b9789,0.3213,0.3404,0.3621
c561,c562,0.3081,0.4079,0.3527
c7801,c7802,0.6962,0.6745,0.7125
c7961,c7962,0.5357,0.5854,0.6775
c7971,c7972,0.4059,0.4833,0.5339
c7a8,c7b8,0.2767,0.3634,0.3081
d259,o3413,0.3208,0.3688,0.3857
d61810,r5081,0.3142,0.3013,0.3162
d61810,t451x5a,0.4138,0.4138,0.4588
d6832,t45515a,0.3475,0.3213,0.3653
d709,r5081,0.4186,0.4201,0.45299999999999996
d821,q9381,0.2797,0.1553,0.36
d89811,t865,0.2922,0.4479,0.3759
d89813,t865,0.3592,0.4089,0.4606
e039,z79890,0.1936,0.3185,0.3996
e0865,e848,0.2891,0.2929,0.3352
e1022,e1065,0.3229,0.302,0.3024
e10621,e1069,0.3614,0.304,0.3379
e1122,i129,0.3969,0.3896,0.4081
e1122,n186,0.3518,0.3544,0.3585
e1122,z794,0.3869,0.3887,0.3803
e1122,z992,0.3169,0.3168,0.3261
e1139,h42,0.4288,0.4554,0.4539
e1143,k3184,0.515,0.5104,0.5318
e11621,e1169,0.3737,0.3728,0.3678
e11621,l97519,0.3678,0.3675,0.3893
e11621,l97529,0.3568,0.3408,0.3432
e1165,z794,0.3471,0.3452,0.3569
e119,z7984,0.4026,0.3999,0.3968
e43,z681,0.4077,0.4049,0.4057
e6601,z6841,0.3409,0.344,0.3411
e785,i10,0.4228,0.4249,0.4343
e785,i2510,0.3905,0.3955,0.3817
e785,z7982,0.3668,0.371,0.3762
e785,z79899,0.3271,0.3623,0.3854
e785,z87891,0.336,0.3342,0.326
e840,e848,0.4702,0.4378,0.4074
e854,i680,0.4817,0.4963,0.5599
e872,n179,0.2807,0.2894,0.3062
e890,z85850,0.3183,0.3071,0.3074
f0280,g309,0.723,0.7132,0.684
f1123,f332,0.2601,0.2985,0.3188
f329,f419,0.3624,0.3472,0.3655
f530,o99345,0.3587,0.4899,0.4063
f88,g800,0.2731,0.2862,0.3073
g546,z4781,0.3796,0.2933,0.3035
g8929,m549,0.3192,0.3079,0.348
g935,g936,0.3244,0.3444,0.3322
h01003,h01006,0.6338,,0.6429
i10,z79899,0.3188,0.3645,0.3982
i120,n186,0.628,0.5995,0.6229
i120,z992,0.6279,0.6012,0.6146
i129,n189,0.3541,0.3536,0.3567
i132,n186,0.3922,0.4023,0.3884
i132,z992,0.3862,0.3957,0.3807
i2510,z7982,0.3936,0.3979,0.3901
i2510,z955,0.3845,0.3655,0.3715
i252,z955,0.3682,0.3561,0.359
i462,i4901,0.2605,0.2456,0.3378
i5189,q676,0.249,0.2833,0.3132
i69020,i69051,0.4311,,0.3621
i69054,i69091,0.11699999999999999,,0.3147
i69110,i69111,0.4308,0.4991,0.6295
i69110,i69112,0.2339,0.3328,0.3483
i69110,i69114,0.5,0.625,0.6459
i69111,i69112,0.3308,0.3667,0.311
i69111,i69114,0.4786,0.5407,0.6562
i69120,i69151,0.4134,0.5217,0.4718
i69120,i69191,0.3615,0.4828,0.4252
i69122,i69151,0.3004,0.2723,0.3351
i69122,i69154,0.2237,0.3119,0.3056
i69122,i69191,0.4307,0.3829,0.4333
i69122,i69192,0.5032,0.4298,0.3677
i69151,i69191,0.3242,0.3366,0.3506
i69154,i69191,0.2871,0.3599,0.3238
