Id,alphabet,Description,Category,Prevalence_20192,Prevalence_20201,Prevalence_20202
a029,a,"Salmonella infection, unspecified",Certain infectious and parasitic diseases,26.0,14.0,24.0
a040,a,Enteropathogenic Escherichia coli infection,Certain infectious and parasitic diseases,52.0,40.0,31.0
a044,a,Other intestinal Escherichia coli infections,Certain infectious and parasitic diseases,79.0,47.0,29.0
a045,a,Campylobacter enteritis,Certain infectious and parasitic diseases,106.0,94.0,65.0
a0472,a,"Enterocolitis due to Clostridium difficile, not specified as recurrent",Certain infectious and parasitic diseases,2669.0,2365.0,2499.0
a048,a,Other specified bacterial intestinal infections,Certain infectious and parasitic diseases,51.0,42.0,57.0
a071,a,Giardiasis [lambliasis],Certain infectious and parasitic diseases,45.0,24.0,15.0
a072,a,Cryptosporidiosis,Certain infectious and parasitic diseases,28.0,11.0,16.0
a080,a,Rotaviral enteritis,Certain infectious and parasitic diseases,26.0,18.0,
a082,a,Adenoviral enteritis,Certain infectious and parasitic diseases,20.0,12.0,
a0839,a,Other viral enteritis,Certain infectious and parasitic diseases,55.0,101.0,343.0
a159,a,Respiratory tuberculosis unspecified,Certain infectious and parasitic diseases,29.0,20.0,15.0
a1801,a,Tuberculosis of spine,Certain infectious and parasitic diseases,,13.0,11.0
a280,a,Pasteurellosis,Certain infectious and parasitic diseases,46.0,38.0,32.0
a310,a,Pulmonary mycobacterial infection,Certain infectious and parasitic diseases,112.0,111.0,90.0
a312,a,Disseminated mycobacterium avium-intracellulare complex (DMAC),Certain infectious and parasitic diseases,24.0,13.0,
a318,a,Other mycobacterial infections,Certain infectious and parasitic diseases,13.0,12.0,11.0
a319,a,"Mycobacterial infection, unspecified",Certain infectious and parasitic diseases,32.0,31.0,16.0
a403,a,Sepsis due to Streptococcus pneumoniae,Certain infectious and parasitic diseases,51.0,118.0,63.0
a409,a,"Streptococcal sepsis, unspecified",Certain infectious and parasitic diseases,129.0,162.0,109.0
a4101,a,Sepsis due to Methicillin susceptible Staphylococcus aureus,Certain infectious and parasitic diseases,688.0,606.0,661.0
a4102,a,Sepsis due to Methicillin resistant Staphylococcus aureus,Certain infectious and parasitic diseases,484.0,493.0,468.0
a411,a,Sepsis due to other specified staphylococcus,Certain infectious and parasitic diseases,167.0,162.0,234.0
a413,a,Sepsis due to Hemophilus influenzae,Certain infectious and parasitic diseases,14.0,15.0,
a4151,a,Sepsis due to Escherichia coli [E. coli],Certain infectious and parasitic diseases,1415.0,1265.0,1208.0
a4152,a,Sepsis due to Pseudomonas,Certain infectious and parasitic diseases,295.0,261.0,304.0
a4153,a,Sepsis due to Serratia,Certain infectious and parasitic diseases,28.0,36.0,27.0
a4159,a,Other Gram-negative sepsis,Certain infectious and parasitic diseases,663.0,587.0,730.0
a4181,a,Sepsis due to Enterococcus,Certain infectious and parasitic diseases,346.0,280.0,334.0
