Id,alphabet,Description,Category,Prevalence_20192,Prevalence_20201,Prevalence_20202,Color
a419,a,"Sepsis, unspecified organism",Certain infectious and parasitic diseases,16939,17062,16267,grey
a528,a,"Late syphilis, latent",Certain infectious and parasitic diseases,27,42,38,grey
a530,a,"Latent syphilis, unspecified as early or late",Certain infectious and parasitic diseases,63,61,91,grey
a549,a,"Gonococcal infection, unspecified",Certain infectious and parasitic diseases,43,48,93,grey
a6000,a,"Herpesviral infection of urogenital system, unspecified",Certain infectious and parasitic diseases,471,411,402,grey
b009,b,"Herpesviral infection, unspecified",Certain infectious and parasitic diseases,615,565,527,grey
b9620,b,Unspecified Escherichia coli [E. coli] as the cause of diseases classified elsewhere,Certain infectious and parasitic diseases,7083,6447,6464,grey
b9710,b,Unspecified enterovirus as the cause of diseases classified elsewhere,Certain infectious and parasitic diseases,367,355,134,grey
b9789,b,Other viral agents as the cause of diseases classified elsewhere,Certain infectious and parasitic diseases,1193,1147,400,grey
c3481,c,Malignant neoplasm of overlapping sites of right bronchus and lung,Neoplasms,21,14,13,grey
c3482,c,Malignant neoplasm of overlapping sites of left bronchus and lung,Neoplasms,12,11,,grey
c3490,c,Malignant neoplasm of unspecified part of unspecified bronchus or lung,Neoplasms,1473,1468,1243,grey
c561,c,Malignant neoplasm of right ovary,Neoplasms,93,96,76,grey
c562,c,Malignant neoplasm of left ovary,Neoplasms,110,97,84,grey
c6921,c,Malignant neoplasm of right retina,Neoplasms,26,11,,grey
c6922,c,Malignant neoplasm of left retina,Neoplasms,22,11,,grey
c7490,c,Malignant neoplasm of unspecified part of unspecified adrenal gland,Neoplasms,39,40,29,grey
c7a012,c,Malignant carcinoid tumor of the ileum,Neoplasms,,10,,grey
c7a090,c,Malignant carcinoid tumor of the bronchus and lung,Neoplasms,28,16,16,grey
c7a1,c,Malignant poorly differentiated neuroendocrine tumors,Neoplasms,50,46,63,grey
c7a8,c,Other malignant neuroendocrine tumors,Neoplasms,127,157,141,grey
c7b02,c,Secondary carcinoid tumors of liver,Neoplasms,28,25,20,grey
c7b09,c,Secondary carcinoid tumors of other sites,Neoplasms,15,16,10,grey
c7b8,c,Other secondary neuroendocrine tumors,Neoplasms,62,98,99,grey
c7800,c,Secondary malignant neoplasm of unspecified lung,Neoplasms,1286,1150,1069,grey
c7801,c,Secondary malignant neoplasm of right lung,Neoplasms,720,633,618,grey
c7802,c,Secondary malignant neoplasm of left lung,Neoplasms,644,596,592,grey
c786,c,Secondary malignant neoplasm of retroperitoneum and peritoneum,Neoplasms,1064,1012,1036,grey
c787,c,Secondary malignant neoplasm of liver and intrahepatic bile duct,Neoplasms,2683,2508,2454,grey
c7901,c,Secondary malignant neoplasm of right kidney and renal pelvis,Neoplasms,29,28,26,grey
c7902,c,Secondary malignant neoplasm of left kidney and renal pelvis,Neoplasms,28,35,27,grey
c7931,c,Secondary malignant neoplasm of brain,Neoplasms,1369,1219,1179,grey
c7951,c,Secondary malignant neoplasm of bone,Neoplasms,3119,3011,2634,grey
c7952,c,Secondary malignant neoplasm of bone marrow,Neoplasms,60,69,45,grey
c7961,c,Secondary malignant neoplasm of right ovary,Neoplasms,28,28,33,grey
c7962,c,Secondary malignant neoplasm of left ovary,Neoplasms,28,23,22,grey
c7971,c,Secondary malignant neoplasm of right adrenal gland,Neoplasms,131,132,132,grey
c7972,c,Secondary malignant neoplasm of left adrenal gland,Neoplasms,189,179,152,grey
c8350,c,"Lymphoblastic (diffuse) lymphoma, unspecified site",Neoplasms,17,19,13,grey
d122,d,Benign neoplasm of ascending colon,Blood and immune disorders ,196,149,142,grey
d123,d,Benign neoplasm of transverse colon,Blood and immune disorders ,179,144,135,grey
