"Source","Target","Weight"
"f419","l03115",0.0212
"f419","l03116",0.0224
"f419","e039",0.1444
"f419","e11649",0.0124
"f419","e8342",0.0645
"f419","e860",0.0991
"f419","f329",0.3624
"f419","i110",0.0667
"f419","i2510",0.1117
"f419","i4891",0.0591
"f419","i5032",0.023
"f419","k219",0.1959
"f419","z7902",0.0487
"f419","z794",0.0938
"f419","z7982",0.12
"f419","z79890",0.0404
"f419","z79899",0.1654
"f419","z87891",0.147
"f419","z951",0.037
"f419","z955",0.0553
"f419","e6601",0.0835
"f419","f1020",0.0326
"f419","i4892",0.0142
"f419","i5033",0.0219
"f419","z6842",0.0198
"f419","z7901",0.0908
"f419","d649",0.1034
"f419","e1142",0.0371
"f419","e1151",0.0222
"f419","e669",0.0989
"f419","f17210",0.1719
"f419","g43909",0.0659
"f419","j440",0.0346
"f419","j441",0.058
"f419","j690",0.0315
"f419","j9621",0.048
"f419","z9981",0.0681
"f419","e1122",0.0662
"f419","e1165",0.0653
"f419","e785",0.148
"f419","e876",0.1336
"f419","h9190",0.024
"f419","i5043",0.0114
"f419","n183",0.0633
"f419","n400",0.0417
"f419","z7984",0.0746
"f419","a419",0.0584
"f419","e46",0.0264
"f419","e861",0.0208
"f419","e871",0.0962
"f419","e878",0.0111
"f419","g9340",0.017
"f419","i10",0.1663
"f419","k529",0.0215
"f419","k567",0.015
"f419","n319",0.0135
"f419","n390",0.0795
"f419","z66",0.0722
"f419","z87440",0.019
"f419","z880",0.0597
"f419","z23",0.0449
"f419","d631",0.0431
"f419","e872",0.0889
"f419","g9341",0.0495
"f419","i130",0.0359
"f419","i161",0.0104
"f419","i959",0.0484
"f419","j189",0.0563
"f419","j9601",0.0795
"f419","n179",0.0995
"f419","r339",0.0234
"f419","r6520",0.0133
"f419","g4733",0.0865
"f419","i160",0.0196
"f419","r739",0.0292
"f419","z6841",0.0381
"f419","z833",0.0329
"f419","e1121",0.0104
"f419","e875",0.0426
"f419","i429",0.0243
"f419","z853",0.0326
"f419","m1712",0.0106
"f419","d62",0.0686
"f419","i2699",0.0156
"f419","r740",0.0208
"f419","i252",0.056
"f419","o99214",0.0112
"f419","o99344",0.0525
"f419","z370",0.0397
"f419","z95810",0.0185
"f419","e119",0.0863
"f419","e8339",0.029
"f419","g8929",0.1522
"f419","g8918",0.0177
"f419","i509",0.0375
"f419","z952",0.0117
"f419","m549",0.0686
"f419","z9884",0.0276
"f419","d696",0.0398
"f419","m329",0.011
"f419","r0789",0.0176
"f419","r531",0.0324
"f419","r55",0.0188
"f419","z720",0.0261
"f419","z3a39",0.0193
"f419","e11621",0.0112
"f419","i132",0.0124
"f419","j209",0.0132
"f419","n186",0.0371
"f419","z9119",0.0454
"f419","z992",0.0328
"f419","b9620",0.029
"f419","f0390",0.0382
"f419","g40909",0.0505
"f419","i129",0.0634
"f419","n189",0.0384
"f419","z8673",0.0704
"f419","g2581",0.0331
"f419","z86718",0.0545
"f419","r509",0.0144
"f419","j449",0.0945
"f419","r627",0.0135
"f419","r6510",0.0154
"f419","e1140",0.0349
"f419","j45909",0.1072
"f419","r51",0.0274
"f419","z6843",0.0157
"f419","e440",0.0161
"f419","k5900",0.0752
"f419","z681",0.0306
"f419","z79891",0.0538
"f419","z9221",0.0301
"f419","z923",0.0289
"f419","i495",0.0112
"f419","z950",0.0278
"f419","z981",0.0318
"f419","f319",0.0774
"f419","a0472",0.0114
"f419","z3a38",0.0107
