Source,Target,Weight20192,Weight20201,Weight20202
a020,a021,0.1738,,
a020,a040,0.0552,,0.0199
a021,a041,0.0585,,
a021,a5900,0.0536,,
a029,k753,0.0958,,
a039,a071,0.0501,,
a040,a044,0.0591,0.0219,
a040,a045,0.0951,0.081,0.0192
a040,a071,0.0604,,
a040,a072,0.0697,,
a041,b9623,0.0527,,
a041,n8311,0.0606,,
a041,q042,0.0585,,
a041,s80862a,0.0629,,
a044,b9623,0.0856,,
a0472,r6521,0.0727,0.0657,0.0564
a071,a072,0.1067,0.0501,
a071,k50111,0.057,,
a082,c9202,0.0503,,
a082,d89810,0.0846,,
a082,q411,0.0593,,
a0839,b258,0.261,0.1448,0.0612
a150,t371x5a,0.0677,,
a280,s61252a,0.0892,,
a280,s61451a,0.055,0.0438,0.0616
a280,s61452a,0.0974,0.0676,0.0538
a280,s61551a,0.0568,,0.08
a280,z2914,0.0601,,
a312,a430,0.0536,,
a312,b440,0.0799,,
a312,d761,0.0851,0.0797,
a312,e881,0.0509,,
a312,h918x9,0.05,,
a312,l98421,0.1054,,
a312,t380x5s,0.0509,,
a318,e7204,0.07400000000000001,,
a318,e7521,0.0573,,
a318,h02409,0.0614,,
a318,m86472,0.0686,,
a318,t84624a,0.0769,,
a318,t84629a,0.07400000000000001,,
a3790,p7441,0.06,,
a403,g001,0.0744,0.0456,
a403,j13,0.1335,0.1556,0.1785
a403,j154,0.0604,0.0319,0.0469
a4101,g061,0.0547,0.0753,0.0416
a4101,i2690,0.0524,0.0796,0.0483
a4101,i330,0.0841,0.1017,0.1001
a4101,i76,0.0664,0.0583,0.0662
a4101,j15211,0.0656,0.0789,0.1014
a4101,t80211a,0.0696,0.0924,0.0677
a4101,t827xxa,0.0547,0.0634,0.0568
a4102,i330,0.0753,0.0604,0.0767
a4102,j15212,0.0755,0.126,0.1393
a4102,t80211a,0.0545,0.0732,0.0607
a4102,t827xxa,0.0608,0.0549,0.0376
a411,t80211a,0.0875,0.0768,0.095
a413,g372,0.0794,,
a413,i400,0.0525,0.0363,
a413,i409,0.0689,,
a413,j14,0.1299,0.0932,
a413,z652,0.0525,,
a4151,n10,0.0992,0.0939,0.0852
a4151,n12,0.0881,0.0815,0.0724
a4151,n136,0.0757,0.0714,0.0659
a4151,r6520,0.0761,0.0646,0.048
a4151,r6521,0.0596,0.0522,0.0476
a4151,z1612,0.0691,0.0681,0.0782
a4151,z1624,0.0543,0.0637,0.0507
a4152,j151,0.0746,0.0765,0.1042
a4159,b961,0.065,0.0591,0.0678
a4159,t80211a,0.0571,0.0328,0.057
a4181,b377,0.0554,0.0183,0.0365
a4181,z1621,0.1035,0.078,0.0883
a419,b9620,0.0763,0.0689,0.0673
a419,d509,0.0524,0.0542,0.0532
a419,d62,0.0582,0.061,0.065
a419,d631,0.0668,0.0684,
a419,d638,0.0639,0.0598,0.0593
a419,d649,0.0966,0.0994,0.0907
a419,d696,0.0752,0.0816,0.0766
a419,e039,0.0722,0.0744,0.071
a419,e1122,0.0931,0.095,0.0885
a419,e1165,0.0969,0.1,0.0947
a419,e119,0.0648,0.0688,0.0662
a419,e43,0.077,0.0758,0.083
a419,e46,0.0653,0.0493,0.0521
a419,e6601,0.07,0.0696,0.0681
a419,e669,0.0551,0.0574,0.0592
a419,e7800,0.0599,0.0594,0.0563
a419,e785,0.0716,0.0763,0.073
a419,e8339,0.0609,0.0599,0.0613
a419,e8342,0.1025,0.09699999999999999,0.0839
a419,e860,0.1143,0.1128,0.1044
a419,e870,0.0791,0.0896,0.0974
a419,e871,0.1358,0.1393,0.1315
a419,e872,0.2026,0.2035,0.184
a419,e875,0.0743,0.0759,0.0795
a419,e876,0.1247,0.1247,0.1138
a419,f0390,0.0625,0.0624,0.0608
a419,f17210,0.0705,0.0744,0.0763
a419,f329,0.0619,0.0654,0.064
a419,f419,0.0584,0.0605,0.0548
a419,g4733,0.0617,0.0585,0.0528
a419,g8929,0.067,0.0704,0.0628
a419,g92,0.0599,0.0599,0.0609
a419,g9341,0.1628,0.168,0.1698
a419,i10,0.0738,0.0777,0.0729
a419,i110,0.0679,0.0722,0.0682
a419,i129,0.0791,0.0815,0.0808
a419,i130,0.0641,0.0711,0.0657
a419,i2510,0.0722,0.0773,0.0728
a419,i480,0.0735,0.0778,0.0703
a419,i4891,0.069,0.0721,0.0654
a419,j181,0.0518,0.0131,0.0043
a419,j189,0.1586,0.1778,0.1701
a419,j440,0.0861,0.1003,0.0714
a419,j441,0.0655,0.0725,0.0492
