Source,Target,Weight20192
a6000,o9832,0.4752
b009,o9852,0.5227
b9710,b9789,0.3213
c561,c562,0.3081
c6921,c6922,0.7194
c7801,c7802,0.6962
c7901,c7902,0.3157
c7961,c7962,0.5357
c7971,c7972,0.4059
d259,o3413,0.3208
d61810,r5081,0.3142
d61810,t451x5a,0.4138
d631,e1122,0.3855
d631,i120,0.3753
d631,n186,0.5827
d631,z992,0.5443
d6832,t45515a,0.3475
d709,r5081,0.4186
d89811,t8609,0.3477
d89813,t865,0.3592
e0580,t381x5a,0.3058
e089,e848,0.3469
e1022,e1065,0.3229
e10621,e1069,0.3614
e1122,i129,0.3969
e1122,n186,0.3518
e1122,z794,0.3869
e1122,z992,0.3169
e1139,h42,0.4288
e1143,k3184,0.515
e11621,e1169,0.3737
e11621,l97519,0.3678
e11621,l97529,0.3568
e1165,z794,0.3471
e119,z7984,0.4026
e43,z681,0.4077
e60,q442,0.3492
e6601,z6841,0.3409
e785,i10,0.4228
e785,i2510,0.3905
e785,z7982,0.3668
e785,z79899,0.3271
e785,z87891,0.336
e840,e848,0.4702
e854,i680,0.4817
e890,z85850,0.3183
e891,z90410,0.3198
f0280,g309,0.723
f329,f419,0.3624
f530,o99345,0.3587
f810,f812,0.4562
g546,z4781,0.3796
g8929,m549,0.3192
g935,g936,0.3244
h01003,h01006,0.6338
h35123,p0723,0.3029
i10,z79899,0.3188
i110,i509,0.3063
i120,n186,0.628
i120,z992,0.6279
i129,n189,0.3541
i132,n186,0.3922
i132,z992,0.3862
i2510,i252,0.3066
i2510,z7982,0.3936
i2510,z955,0.3845
i252,z955,0.3682
i480,z7901,0.3061
i69020,i69051,0.4311
i69020,i69091,0.3321
i69051,i69091,0.4096
i69091,i69098,0.3555
i69110,i69111,0.4308
i69110,i69114,0.5
i69111,i69112,0.3308
i69111,i69114,0.4786
i69111,i69118,0.3329
i69119,i69191,0.3437
i69120,i69151,0.4134
i69120,i69191,0.3615
i69122,i69151,0.3004
i69122,i69191,0.4307
i69122,i69192,0.5032
i69151,i69191,0.3242
i69191,i69192,0.3101
i69218,i69291,0.3293
i69220,i69251,0.3614
i69310,i69314,0.675
i69311,i69314,0.3365
i69320,i69351,0.3088
i69322,i69391,0.4074
i69322,i69392,0.3676
i82411,i82431,0.3735
i82412,i82432,0.3834
i82413,i82433,0.3663
i82511,i82531,0.3518
i82512,i82532,0.4222
i82513,i82533,0.3037
i82a11,i82b11,0.3046
i83018,i83028,0.4999
i83019,i83029,0.4878
i8311,i8312,0.7462
i83218,i83228,0.6027
j440,j441,0.4157
j441,j9621,0.3346
j441,z9981,0.3034
j705,t59811a,0.4064
j9621,j9622,0.3215
j9621,z9981,0.415
k3189,k766,0.3587
k50113,k50114,0.3041
k5901,r530,0.314
k5903,t402x5a,0.521
k7031,k766,0.3284
l02214,l03314,0.3223
l0231,l03317,0.3855
l02411,l03111,0.3435
l02412,l03112,0.4795
l233,t490x5a,0.4159
l89213,l89223,0.3056
l89214,l89224,0.3746
l89310,l89320,0.4795
l89311,l89321,0.4877
l89312,l89322,0.4888
l89313,l89323,0.4285
l89314,l89324,0.3758
l89316,l89326,0.3889
l89319,l89329,0.4419
l89519,l89529,0.3551
l89610,l89620,0.3333
l89611,l89621,0.5712
l89614,l89624,0.3263
l89616,l89626,0.3088
l89619,l89629,0.4252
l97811,l97821,0.4071
l97812,l97822,0.3508
l97818,l97828,0.3946
l97819,l97829,0.3763
l97911,l97921,0.5193
l97919,l97929,0.4923
m13861,m13862,0.4995
m14671,m14672,0.3391
m19041,m19042,0.7879
m2011,m2012,0.3631
m2141,m2142,0.4225
m21611,m21612,0.3313
m238x1,m238x2,0.3029
m24541,m24542,0.5249
m24551,m24552,0.3908
m24561,m24562,0.3651
m25541,m25542,0.4385
m25851,m25852,0.3041
m2602,m2603,0.4972
m4124,m4125,0.3475
m4316,m48062,0.3495
m4622,m4642,0.3656
m4624,m4644,0.4104
m4625,m4645,0.3589
m4626,m4646,0.4476
m4627,m4647,0.3123
m4807,m5117,0.3139
m50023,m50123,0.3508
m5441,m5442,0.3704
m62461,m62462,0.4757
m62561,m62562,0.6975
m7071,m7072,0.3304
m7542,m7552,0.3214
m79604,m79605,0.3064
m90551,m90552,0.3177
n141,t508x5a,0.5817
n186,z992,0.8873
n401,r338,0.5856
n762,n764,0.3317
n801,n803,0.3333
o00102,o081,0.3529
o26893,z6741,0.3222
