Id,alphabet,Description,Category,Prevalence_20192,Prevalence_20201,Prevalence_20202
c6921,c,Malignant neoplasm of right retina,Neoplasms,26.0,11.0,
c6922,c,Malignant neoplasm of left retina,Neoplasms,22.0,11.0,
c7801,c,Secondary malignant neoplasm of right lung,Neoplasms,720.0,633.0,618.0
c7802,c,Secondary malignant neoplasm of left lung,Neoplasms,644.0,596.0,592.0
f0280,f,Dementia in other diseases classified elsewhere without behavioral disturbance,Mental and behavioural disorders,3520.0,3475.0,3371.0
g309,g,"Alzheimer's disease, unspecified",Diseases of the nervous system,2663.0,2524.0,2431.0
h01003,h,"Unspecified blepharitis right eye, unspecified eyelid",Diseases of the eye and ear,10.0,,14.0
h01006,h,"Unspecified blepharitis left eye, unspecified eyelid",Diseases of the eye and ear,12.0,14.0,14.0
i120,i,Hypertensive chronic kidney disease with stage 5 chronic kidney disease or end stage renal disease,Diseases of the circulatory system,6147.0,5767.0,6173.0
i69310,i,Attention and concentration deficit following cerebral infarction,Diseases of the circulatory system,77.0,73.0,80.0
i69314,i,Frontal lobe and executive function deficit following cerebral infarction,Diseases of the circulatory system,94.0,70.0,95.0
i8311,i,Varicose veins of right lower extremity with inflammation,Diseases of the circulatory system,34.0,25.0,32.0
i8312,i,Varicose veins of left lower extremity with inflammation,Diseases of the circulatory system,33.0,29.0,32.0
i83218,i,Varicose veins of right lower extremity with both ulcer of other part of lower extremity and inflammation,Diseases of the circulatory system,36.0,29.0,27.0
i83228,i,Varicose veins of left lower extremity with both ulcer of other part of lower extremity and inflammation,Diseases of the circulatory system,37.0,33.0,34.0
m19041,m,"Primary osteoarthritis, right hand",Diseases of the musculoskeletal system and connective tissue,246.0,223.0,204.0
m19042,m,"Primary osteoarthritis, left hand",Diseases of the musculoskeletal system and connective tissue,229.0,218.0,205.0
m62561,m,"Muscle wasting and atrophy, not elsewhere classified, right lower leg",Diseases of the musculoskeletal system and connective tissue,21.0,12.0,14.0
m62562,m,"Muscle wasting and atrophy, not elsewhere classified, left lower leg",Diseases of the musculoskeletal system and connective tissue,22.0,10.0,13.0
n186,n,End stage renal disease,Diseases of the genitourinary system,11130.0,11113.0,11507.0
