"Id","alphabet","Description","Category","Prevalence_20192","Prevalence_20201","Prevalence_20202"
"a020","a","Salmonella enteritis","Certain infectious and parasitic diseases",85,41,60
"a021","a","Salmonella sepsis","Certain infectious and parasitic diseases",21,,
"a029","a","Salmonella infection, unspecified","Certain infectious and parasitic diseases",26,14,24
"a039","a","Shigellosis, unspecified","Certain infectious and parasitic diseases",34,13,20
"a040","a","Enteropathogenic Escherichia coli infection","Certain infectious and parasitic diseases",52,40,31
"a041","a","Enterotoxigenic Escherichia coli infection","Certain infectious and parasitic diseases",12,,11
"a044","a","Other intestinal Escherichia coli infections","Certain infectious and parasitic diseases",79,47,29
"a045","a","Campylobacter enteritis","Certain infectious and parasitic diseases",106,94,65
"a0471","a","Enterocolitis due to Clostridium difficile, recurrent","Certain infectious and parasitic diseases",471,403,340
"a0472","a","Enterocolitis due to Clostridium difficile, not specified as recurrent","Certain infectious and parasitic diseases",2669,2365,2499
"a048","a","Other specified bacterial intestinal infections","Certain infectious and parasitic diseases",51,42,57
"a049","a","Bacterial intestinal infection, unspecified","Certain infectious and parasitic diseases",41,29,33
"a059","a","Bacterial foodborne intoxication, unspecified","Certain infectious and parasitic diseases",30,45,48
"a071","a","Giardiasis [lambliasis]","Certain infectious and parasitic diseases",45,24,15
"a072","a","Cryptosporidiosis","Certain infectious and parasitic diseases",28,11,16
"a080","a","Rotaviral enteritis","Certain infectious and parasitic diseases",26,18,
"a0811","a","Acute gastroenteropathy due to Norwalk agent","Certain infectious and parasitic diseases",85,63,29
"a082","a","Adenoviral enteritis","Certain infectious and parasitic diseases",20,12,
"a0839","a","Other viral enteritis","Certain infectious and parasitic diseases",55,101,343
"a084","a","Viral intestinal infection, unspecified","Certain infectious and parasitic diseases",597,435,359
"a088","a","Other specified intestinal infections","Certain infectious and parasitic diseases",,,11
"a09","a","Infectious gastroenteritis and colitis, unspecified","Certain infectious and parasitic diseases",538,443,452
"a150","a","Tuberculosis of lung","Certain infectious and parasitic diseases",40,38,32
