Source,Target,Weight
a0839,b258,0.2833
a419,r6521,0.2406
a530,o9812,0.2742
a549,o9822,0.2341
a568,o98319,0.2769
a6000,o9832,0.4704
a64,o98319,0.2523
b009,o9852,0.4977
b465,b479,0.2491
b9620,n390,0.235
b9710,b9789,0.2899
b9710,j218,0.253
b9789,j218,0.225
c3490,c7931,0.2086
c469,h30899,0.2219
c50912,z170,0.2022
c561,c562,0.3156
c5701,c5702,0.3224
c6921,c6922,0.7474
c7800,c787,0.2311
c7801,c7802,0.6822
c786,r180,0.252
c787,c7951,0.2436
c7901,c7902,0.2499
c7951,g893,0.2434
c7961,c7962,0.6348
c7971,c7972,0.5614
c7a1,c7b8,0.2191
c7a8,c7b8,0.2082
c7b02,c7b09,0.3352
d123,d124,0.2009
d251,d252,0.2415
d252,o3413,0.2181
d259,o3413,0.2858
d6109,e7209,0.2854
d61810,r5081,0.3314
d61810,t451x5a,0.4473
d631,e1122,0.3829
d631,e875,0.2528
d631,i120,0.3883
d631,i132,0.2382
d631,n186,0.5865
d631,z992,0.5557
d6481,t451x5a,0.2637
d6832,t45515a,0.3489
d684,k7031,0.2609
d684,k766,0.2459
d709,r5081,0.4354
d821,q9381,0.3759
d89810,t865,0.2688
d89811,t865,0.2664
d89813,t865,0.3888
e039,e785,0.2546
e039,i10,0.2174
e039,i2510,0.2007
e039,k219,0.222
e039,z7982,0.2017
e039,z79899,0.2005
e039,z87891,0.2076
e0580,t381x5a,0.2276
e0865,e840,0.2428
e0865,e848,0.3664
e089,e848,0.318
e1021,e1022,0.3282
e1021,e10319,0.3187
e1022,e10319,0.2221
e1022,e1042,0.2422
e1022,e1043,0.2181
e1022,e10649,0.2423
e1022,e1065,0.3294
e1043,k3184,0.2515
e1051,e10621,0.211
e10621,e10628,0.2783
e10621,e1069,0.4084
e1122,e1165,0.258
e1122,e875,0.2254
e1122,i120,0.2101
e1122,i129,0.3884
e1122,i130,0.3068
e1122,i2510,0.2403
e1122,n179,0.2876
e1122,n186,0.3523
e1122,n189,0.2287
e1122,z794,0.3872
e1122,z992,0.315
e1139,h42,0.4266
e1142,e11621,0.2231
e1143,k3184,0.5226
e1152,e1169,0.2063
e1152,i96,0.2719
e11621,e11628,0.2086
e11621,e1169,0.3591
e11621,l97519,0.3687
e11621,l97529,0.3535
e1165,z794,0.3366
e1165,z7984,0.2269
e1169,m869,0.2938
e1342,e1369,0.25
e1365,e891,0.2873
e139,e891,0.3083
e160,t383x5a,0.21
e230,e232,0.2666
e43,z681,0.3995
e6601,g4733,0.2665
e6601,z6841,0.345
e6601,z6842,0.2123
e785,i10,0.4207
e785,i2510,0.3991
e785,k219,0.2883
e785,n179,0.228
e785,z7901,0.2016
e785,z794,0.2155
e785,z7982,0.3645
e785,z79899,0.3138
e785,z87891,0.3327
e8342,e876,0.2635
e8359,n29,0.2856
e840,e848,0.5166
e840,k8681,0.244
e848,k8681,0.2271
e854,i43,0.2692
e854,i680,0.485
e860,e871,0.2035
e860,e872,0.2113
e860,e876,0.2115
e860,n179,0.257
e871,e872,0.2055
e871,e876,0.2336
e871,n179,0.2208
e872,j9601,0.2191
e872,n179,0.2776
e875,n186,0.2713
