"Source","Target","Weight"
"a0839","b258",0.261
"a419","e872",0.2026
"a419","r6521",0.2383
"a5402","a5602",0.2896
"a568","o98319",0.2002
"a6000","o9832",0.4752
"a878","a9232",0.2896
"a9232","g02",0.2964
"b009","o9852",0.5227
"b9620","n390",0.2315
"b9710","b9789",0.3213
"b9710","j206",0.2033
"b9710","j218",0.22
"c049","c411",0.2017
"c3481","c3482",0.2339
"c3490","c7931",0.2214
"c561","c562",0.3081
"c609","z8549",0.2151
"c6921","c6922",0.7194
"c7800","c787",0.2086
"c7801","c7802",0.6962
"c786","r180",0.2175
"c787","c7951",0.262
"c787","g893",0.2009
"c7901","c7902",0.3157
"c7951","g893",0.2523
"c7961","c7962",0.5357
"c7971","c7972",0.4059
"c7a8","c7b8",0.2767
"d0511","d0512",0.2035
"d122","d123",0.2845
"d122","d124",0.2062
"d123","d125",0.2109
"d124","d125",0.2118
"d251","d252",0.2219
"d252","o3413",0.234
"d259","o3413",0.3208
"d61810","r5081",0.3142
"d61810","t451x5a",0.4138
"d631","e1122",0.3855
"d631","e875",0.2493
"d631","i120",0.3753
"d631","i132",0.2365
"d631","n186",0.5827
"d631","z992",0.5443
"d6481","t451x5a",0.2851
"d6481","z5111",0.2448
"d6832","t45515a",0.3475
"d684","k7031",0.2861
"d684","k766",0.2717
"d6959","k766",0.2078
"d700","d704",0.2587
"d709","r5081",0.4186
"d821","q9381",0.2797
"d89810","t865",0.2327
"d89811","t8609",0.3477
"d89811","t865",0.2922
"d89813","t865",0.3592
"e039","e785",0.2559
"e039","i10",0.216
"e039","k219",0.2259
"e039","z79899",0.2001
"e039","z87891",0.2059
"e0580","t381x5a",0.3058
"e0865","e840",0.2345
"e0865","e848",0.2891
"e089","e840",0.2258
"e089","e848",0.3469
"e1021","e1022",0.2588
"e1021","e10319",0.2625
"e1022","e10319",0.2184
"e1022","e1042",0.2241
"e1022","e1043",0.2518
"e1022","e10649",0.2273
"e1022","e1065",0.3229
"e1042","e10621",0.2003
"e1043","k3184",0.2915
"e1051","e10621",0.2199
"e1052","e10621",0.2377
"e1052","e1069",0.2128
"e10621","e10628",0.2459
"e10621","e1069",0.3614
"e1122","e1165",0.2645
"e1122","e785",0.2022
"e1122","e875",0.2187
"e1122","i120",0.2103
"e1122","i129",0.3969
"e1122","i130",0.2987
"e1122","i2510",0.2373
"e1122","n179",0.2785
"e1122","n183",0.41
"e1122","n186",0.3518
"e1122","n189",0.23
"e1122","z794",0.3869
"e1122","z7982",0.2028
"e1122","z992",0.3169
"e1139","h42",0.4288
"e1142","e11621",0.2372
"e1143","k3184",0.515
"e1152","e1169",0.216
"e1152","i96",0.2946
"e11621","e11628",0.2194
"e11621","e1169",0.3737
"e11621","l97519",0.3678
"e11621","l97529",0.3568
"e1165","z794",0.3471
"e1165","z7984",0.2377
"e1169","l97519",0.2096
"e1169","l97529",0.2113
"e1169","m868x7",0.2042
"e1169","m869",0.2752
"e119","i10",0.2188
"e119","z794",0.2002
"e119","z7984",0.4026
"e1322","e1351",0.2259
"e1342","e1365",0.2595
"e13649","e1365",0.2626
"e1365","e891",0.2078
"e139","e891",0.2739
"e230","e232",0.2572
"e43","z681",0.4077
"e60","q442",0.3492
"e6601","g4733",0.2789
"e6601","z6841",0.3409
"e6601","z6842",0.2109
"e662","j9622",0.2042
"e785","i10",0.4228
"e785","i2510",0.3905
"e785","k219",0.2961
"e785","n179",0.2317
"e785","z7901",0.2064
"e785","z794",0.2234
"e785","z7982",0.3668
"e785","z79899",0.3271
"e785","z87891",0.336
"e8342","e876",0.2717
"e8359","n29",0.2874
"e840","e848",0.4702
"e848","k8681",0.2337
"e848","k909",0.2185
"e854","i43",0.2593
"e854","i680",0.4817
"e860","e871",0.2117
"e860","e872",0.2218
"e860","e876",0.2198
"e860","n179",0.2758
"e871","e872",0.218
"e871","e876",0.2313
"e871","n179",0.222
"e872","j9601",0.2239
"e872","n179",0.2807
"e875","n186",0.2697
"e875","z992",0.2541
"e890","z85850",0.3183
"e891","z90410",0.3198
"f0280","g20",0.2183
"f0280","g309",0.723
"f1120","g894",0.2181
"f1123","f332",0.2601
"f1510","z590",0.2211
"f1520","z560",0.2008
"f17213","z13228",0.2579
"f3289","r6889",0.2262
"f329","f419",0.3624
"f329","k219",0.2129
"f332","r45851",0.2471
"f332","z62810",0.2237
"f332","z915",0.2577
"f530","o99345",0.3587
"f810","f812",0.4562
"f88","g800",0.2731
"f88","r633",0.214
"g061","m4626",0.2299
"g2409","t434x5a",0.2071
"g249","q673",0.2013
"g4440","t463x5a",0.219
"g546","z4781",0.3796
"g5631","m21331",0.2772
"g800","m4140",0.201
"g8191","r29810",0.2158
"g8191","r4701",0.2847
"g8194","i639",0.2009
"g8194","r29810",0.2554
"g8220","n319",0.2631
"g8929","m549",0.3192
"g919","z982",0.2447
"g931","i469",0.2747
"g935","g936",0.3244
"g9619","g9782",0.2442
"h01003","h01006",0.6338
"h35123","p0723",0.3029
"h47039","q564",0.2011
"h6092","h70002",0.2438
"i10","i2510",0.2205
"i10","k219",0.2796
"i10","z7982",0.2781
"i10","z79899",0.3188
"i10","z87891",0.2975
"i110","i2510",0.202
"i110","i5022",0.2024
"i110","i509",0.3063
"i120","n186",0.628
"i120","z992",0.6279
"i129","n179",0.2567
"i129","n183",0.5177
"i129","n189",0.3541
"i130","i5032",0.2016
"i130","i509",0.2073
"i130","n183",0.3649
"i130","n189",0.2223
"i132","n186",0.3922
"i132","z992",0.3862
"i2510","i252",0.3066
"i2510","k219",0.2154
"i2510","n179",0.234
"i2510","z7901",0.2373
"i2510","z7902",0.2283
"i2510","z794",0.2091
"i2510","z7982",0.3936
"i2510","z79899",0.2276
"i2510","z87891",0.2822
"i2510","z951",0.295
"i2510","z955",0.3845
"i252","z7902",0.205
"i252","z951",0.2209
"i252","z955",0.3682
"i255","i5022",0.2268
"i255","i5023",0.2486
"i255","z95810",0.2668
"i2690","i330",0.2053
"i2690","i76",0.2653
"i2729","i2781",0.2531
"i330","i76",0.2428
"i350","z006",0.2196
"i462","i4901",0.2605
"i480","z7901",0.3061
"i4891","z7901",0.2507
"i495","z950",0.2226
"i5022","z95810",0.2242
"i5023","z95810",0.2162
"i5084","z95811",0.234
"i5189","q676",0.249
"i6201","i6203",0.2141
"i639","r29810",0.2418
"i69020","i69051",0.4311
"i69020","i69091",0.3321
"i69020","i69098",0.2141
"i69051","i69091",0.4096
"i69091","i69098",0.3555
"i69110","i69111",0.4308
"i69110","i69112",0.2339
"i69110","i69114",0.5
"i69111","i69112",0.3308
"i69111","i69114",0.4786
"i69111","i69118",0.3329
"i69111","i69193",0.2289
"i69112","i69114",0.2339
"i69112","i69118",0.2729
"i69114","i69193",0.2945
"i69118","i69120",0.2585
"i69118","i69151",0.2417
"i69118","i69192",0.212
"i69119","i69120",0.2
"i69119","i69122",0.2406
"i69119","i69151",0.2264
"i69119","i69154",0.2998
"i69119","i69191",0.3437
"i69119","i69198",0.2243
"i69120","i69122",0.2386
"i69120","i69151",0.4134
"i69120","i69191",0.3615
"i69120","i69198",0.2394
"i69122","i69151",0.3004
"i69122","i69154",0.2237
"i69122","i69191",0.4307
"i69122","i69192",0.5032
"i69122","i69198",0.235
"i69151","i69191",0.3242
"i69151","i69198",0.2719
"i69154","i69191",0.2871
"i69154","i69192",0.2446
"i69191","i69192",0.3101
"i69191","i69198",0.296
"i69218","i69291",0.3293
"i69219","i69220",0.2035
"i69219","i69251",0.2084
"i69219","i69291",0.2774
"i69220","i69251",0.3614
"i69310","i69311",0.28
"i69310","i69312",0.2924
"i69310","i69314",0.675
"i69311","i69312",0.2097
"i69311","i69314",0.3365
"i69312","i69314",0.2832
"i69319","i69322",0.2166
"i69319","i69391",0.239
"i69320","i69322",0.2408
"i69320","i69351",0.3088
"i69320","i69391",0.2997
"i69322","i69391",0.4074
"i69322","i69392",0.3676
"i69351","i69391",0.2023
"i69391","i69392",0.2971
"i70238","i70248",0.2956
"i70239","i70249",0.2353
"i7300","m349",0.2033
"i82411","i82431",0.3735
"i82412","i82432",0.3834
"i82413","i82433",0.3663
"i82431","i82441",0.2664
"i82432","i82442",0.2387
"i82433","i82443",0.2447
"i82442","i82452",0.2583
"i82511","i82531",0.3518
"i82512","i82532",0.4222
"i82513","i82533",0.3037
"i82a11","i82b11",0.3046
"i82a12","i82b12",0.286
"i83009","l97909",0.2296
"i83018","i83028",0.4999
"i83018","l97819",0.2324
"i83019","i83029",0.4878
"i83028","l97829",0.2035
"i8311","i8312",0.7462
"i83218","i83228",0.6027
"i8510","k3189",0.2052
"i8510","k7031",0.2139
"i8510","k766",0.261
"i8511","k3189",0.2037
"j0110","j0120",0.2857
"j189","j440",0.2696
"j189","j9601",0.2108
"j321","j322",0.2319
"j322","j323",0.2443
"j342","j343",0.2393
"j440","j441",0.4157
"j440","j9621",0.2455
"j441","j9621",0.3346
"j441","z9981",0.3034
"j449","z9981",0.2025
"j470","j471",0.225
"j705","t59811a",0.4064
"j850","j851",0.2033
"j853","j9851",0.2615
"j954","t410x5a",0.285
