Id,alphabet,Description,Category,Prevalence_20192,Cost_support_20192,Chronic Indicator
a0839,a,Other viral enteritis,Certain infectious and parasitic diseases,55.0,0.14545454545454503,a
a419,a,"Sepsis, unspecified organism",Certain infectious and parasitic diseases,16939.0,0.128815160281008,a
a5402,a,"Gonococcal vulvovaginitis, unspecified",Certain infectious and parasitic diseases,14.0,0.0,a
a5602,a,Chlamydial vulvovaginitis,Certain infectious and parasitic diseases,20.0,0.0,a
a568,a,Sexually transmitted chlamydial infection of other sites,Certain infectious and parasitic diseases,60.0,0.0,a
a6000,a,"Herpesviral infection of urogenital system, unspecified",Certain infectious and parasitic diseases,471.0,0.0254777070063694,c
a878,a,Other viral meningitis,Certain infectious and parasitic diseases,14.0,0.214285714285714,a
a9232,a,West Nile virus infection with other neurologic manifestation,Certain infectious and parasitic diseases,20.0,0.35,a
b009,b,"Herpesviral infection, unspecified",Certain infectious and parasitic diseases,615.0,0.0227642276422764,a
b258,b,Other cytomegaloviral diseases,Certain infectious and parasitic diseases,67.0,0.23880597014925398,a
b9620,b,Unspecified Escherichia coli [E. coli] as the cause of diseases classified elsewhere,Certain infectious and parasitic diseases,7083.0,0.0688973598757589,a
b9710,b,Unspecified enterovirus as the cause of diseases classified elsewhere,Certain infectious and parasitic diseases,367.0,0.0762942779291553,a
b9789,b,Other viral agents as the cause of diseases classified elsewhere,Certain infectious and parasitic diseases,1193.0,0.0712489522212909,a
c049,c,"Malignant neoplasm of floor of mouth, unspecified",Neoplasms,20.0,0.35,c
c3481,c,Malignant neoplasm of overlapping sites of right bronchus and lung,Neoplasms,21.0,0.0476190476190476,c
c3482,c,Malignant neoplasm of overlapping sites of left bronchus and lung,Neoplasms,12.0,0.0,c
c3490,c,Malignant neoplasm of unspecified part of unspecified bronchus or lung,Neoplasms,1473.0,0.0454854039375424,c
c411,c,Malignant neoplasm of mandible,Neoplasms,37.0,0.24324324324324303,c
c561,c,Malignant neoplasm of right ovary,Neoplasms,93.0,0.0752688172043011,c
c562,c,Malignant neoplasm of left ovary,Neoplasms,110.0,0.14545454545454503,c
c609,c,"Malignant neoplasm of penis, unspecified",Neoplasms,10.0,0.1,c
c6921,c,Malignant neoplasm of right retina,Neoplasms,26.0,0.0,c
c6922,c,Malignant neoplasm of left retina,Neoplasms,22.0,0.0,c
c7a8,c,Other malignant neuroendocrine tumors,Neoplasms,127.0,0.118110236220472,c
c7b8,c,Other secondary neuroendocrine tumors,Neoplasms,62.0,0.0645161290322581,c
c7800,c,Secondary malignant neoplasm of unspecified lung,Neoplasms,1286.0,0.0699844479004666,c
c7801,c,Secondary malignant neoplasm of right lung,Neoplasms,720.0,0.0680555555555555,c
c7802,c,Secondary malignant neoplasm of left lung,Neoplasms,644.0,0.0636645962732919,c
c786,c,Secondary malignant neoplasm of retroperitoneum and peritoneum,Neoplasms,1064.0,0.0902255639097744,c
