Id,alphabet,Description,Category,Prevalence_20191,Cost_support_20191,Chronic Indicator
a0839,a,Other viral enteritis,Certain infectious and parasitic diseases,68.0,0.161764705882353,a
a419,a,"Sepsis, unspecified organism",Certain infectious and parasitic diseases,17426.0,0.13020773556754303,a
a530,a,"Latent syphilis, unspecified as early or late",Certain infectious and parasitic diseases,56.0,0.0535714285714286,c
a549,a,"Gonococcal infection, unspecified",Certain infectious and parasitic diseases,44.0,0.0227272727272727,a
a568,a,Sexually transmitted chlamydial infection of other sites,Certain infectious and parasitic diseases,68.0,0.0,a
a6000,a,"Herpesviral infection of urogenital system, unspecified",Certain infectious and parasitic diseases,466.0,0.0214592274678112,c
a64,a,Unspecified sexually transmitted disease,Certain infectious and parasitic diseases,15.0,0.0,a
b009,b,"Herpesviral infection, unspecified",Certain infectious and parasitic diseases,575.0,0.0330434782608696,a
b258,b,Other cytomegaloviral diseases,Certain infectious and parasitic diseases,64.0,0.296875,a
b465,b,"Mucormycosis, unspecified",Certain infectious and parasitic diseases,11.0,0.6363636363636359,a
b479,b,"Mycetoma, unspecified",Certain infectious and parasitic diseases,11.0,0.36363636363636404,a
b9620,b,Unspecified Escherichia coli [E. coli] as the cause of diseases classified elsewhere,Certain infectious and parasitic diseases,7005.0,0.0675231977159172,a
b9710,b,Unspecified enterovirus as the cause of diseases classified elsewhere,Certain infectious and parasitic diseases,428.0,0.0514018691588785,a
b9789,b,Other viral agents as the cause of diseases classified elsewhere,Certain infectious and parasitic diseases,1494.0,0.0629183400267738,a
c3490,c,Malignant neoplasm of unspecified part of unspecified bronchus or lung,Neoplasms,1531.0,0.0509470934030046,c
c469,c,"Kaposi's sarcoma, unspecified",Neoplasms,21.0,0.0952380952380952,c
c50912,c,Malignant neoplasm of unspecified site of left female breast,Neoplasms,324.0,0.0555555555555556,c
c561,c,Malignant neoplasm of right ovary,Neoplasms,96.0,0.0833333333333333,c
c562,c,Malignant neoplasm of left ovary,Neoplasms,90.0,0.111111111111111,c
c5701,c,Malignant neoplasm of right fallopian tube,Neoplasms,15.0,0.266666666666667,c
c5702,c,Malignant neoplasm of left fallopian tube,Neoplasms,16.0,0.125,c
c6921,c,Malignant neoplasm of right retina,Neoplasms,11.0,0.0,c
c6922,c,Malignant neoplasm of left retina,Neoplasms,11.0,0.0,c
c7a1,c,Malignant poorly differentiated neuroendocrine tumors,Neoplasms,42.0,0.0714285714285714,c
c7a8,c,Other malignant neuroendocrine tumors,Neoplasms,132.0,0.0681818181818182,c
c7b02,c,Secondary carcinoid tumors of liver,Neoplasms,34.0,0.11764705882352902,c
c7b09,c,Secondary carcinoid tumors of other sites,Neoplasms,22.0,0.136363636363636,c
c7b8,c,Other secondary neuroendocrine tumors,Neoplasms,49.0,0.0408163265306122,c
c7800,c,Secondary malignant neoplasm of unspecified lung,Neoplasms,1392.0,0.0524425287356322,c
c7801,c,Secondary malignant neoplasm of right lung,Neoplasms,706.0,0.0736543909348442,c
c7802,c,Secondary malignant neoplasm of left lung,Neoplasms,635.0,0.0755905511811024,c
c786,c,Secondary malignant neoplasm of retroperitoneum and peritoneum,Neoplasms,1185.0,0.0978902953586498,c
c787,c,Secondary malignant neoplasm of liver and intrahepatic bile duct,Neoplasms,2876.0,0.0598052851182197,c
c7901,c,Secondary malignant neoplasm of right kidney and renal pelvis,Neoplasms,31.0,0.0,c
c7902,c,Secondary malignant neoplasm of left kidney and renal pelvis,Neoplasms,33.0,0.0303030303030303,c
c7931,c,Secondary malignant neoplasm of brain,Neoplasms,1355.0,0.0642066420664207,c
c7951,c,Secondary malignant neoplasm of bone,Neoplasms,2983.0,0.0714046262152196,c
c7961,c,Secondary malignant neoplasm of right ovary,Neoplasms,31.0,0.29032258064516103,c
c7962,c,Secondary malignant neoplasm of left ovary,Neoplasms,30.0,0.23333333333333303,c
c7971,c,Secondary malignant neoplasm of right adrenal gland,Neoplasms,169.0,0.0828402366863905,c
c7972,c,Secondary malignant neoplasm of left adrenal gland,Neoplasms,185.0,0.0810810810810811,c
d123,d,Benign neoplasm of transverse colon,Blood and immune disorders ,264.0,0.0606060606060606,a
d124,d,Benign neoplasm of descending colon,Blood and immune disorders ,131.0,0.0610687022900763,a
d251,d,Intramural leiomyoma of uterus,Blood and immune disorders ,136.0,0.007352941176470591,a
d252,d,Subserosal leiomyoma of uterus,Blood and immune disorders ,165.0,0.0181818181818182,a
d259,d,"Leiomyoma of uterus, unspecified",Blood and immune disorders ,1159.0,0.0224331320103538,a
d6109,d,Other constitutional aplastic anemia,Blood and immune disorders ,10.0,0.1,c
d61810,d,Antineoplastic chemotherapy induced pancytopenia,Blood and immune disorders ,2007.0,0.24115595416043803,c
d631,d,Anemia in chronic kidney disease,Blood and immune disorders ,13462.0,0.10035655920368401,c
