,0,1,2,3,4,5
r402134,2.7349048,1.6842391,3.2756343,1.4152547,-3.6149917,-4.795694
r402354,2.5873327,1.5098302,3.7678127,0.91118103,-3.618938,-4.079299
r402124,2.6726646,1.5238903,4.4455743,0.69991094,-3.7779064,-4.0225577
r402214,2.568516,1.3194034,4.9082108,0.84845513,-3.6534178,-4.1655974
r402344,2.6530545,1.4757609,4.8493214,0.6691731,-3.8041108,-4.0729213
r402314,2.5934668,1.2602173,5.431699,0.8727118,-3.7513118,-4.3683763
r402114,2.5831082,1.2630608,5.401009,0.906246,-3.7236812,-4.374598
t380x5a,-7.1891627,-2.735381,2.365214,-8.0408325,-4.9917893,-5.6917734
r739,-7.1654305,-2.7042055,2.3811932,-8.019629,-4.979739,-5.7177114
m238x1,-6.2630234,0.62242496,2.4411263,-7.5663214,-7.6509566,-4.197926
m238x2,-6.2931566,0.6195926,2.4504411,-7.5977755,-7.6890354,-4.217052
s81802d,-2.1484427,-1.7344697,6.619256,3.622107,0.7494452,-10.293951
s81801d,-2.1522586,-1.7544214,6.644865,3.6920328,0.7836133,-10.335152
l03114,3.4574862,-1.7735171,1.9963993,-6.4832325,4.4551864,-10.106687
l02414,3.4589462,-1.7781847,2.0002701,-6.5125165,4.4772363,-10.11846
p285,1.7201426,1.5444808,2.6241581,-1.1986455,3.081506,-4.467893
p84,1.8107884,1.496342,2.6884847,-1.3092928,3.0568175,-4.4521403
p284,1.8129474,1.4445755,2.5285366,-1.6217936,2.650165,-3.76541
p612,1.9115803,1.2256367,2.8398125,-1.3897746,2.5271363,-3.7939458
p590,2.2832747,1.5412492,2.3744605,-2.1796722,2.4524434,-3.7594936
p0739,2.372859,1.6307813,2.3502321,-2.4189997,2.5217586,-3.8254108
p0737,2.8321726,1.668741,2.4287388,-2.8377795,2.480287,-4.170147
p0718,2.9321673,1.6892579,2.4273279,-2.939459,2.468461,-4.238099
p0738,2.8186517,1.6465328,2.407032,-2.8544068,2.4478018,-4.1284776
p2912,1.90746,1.4976119,2.5522788,-1.6283082,2.6245923,-3.7918384
p220,1.7640023,1.4050485,2.5854034,-1.5944356,2.678184,-3.7315679
p7422,2.7787888,0.88754934,3.9887404,-1.3057745,2.550268,-4.802014
p271,2.8774116,0.8583764,4.0683265,-1.2415732,2.4911377,-4.9235835
q250,1.5164698,1.1696978,3.5386086,-2.1566901,3.1269798,-3.9139419
